t E e M
s erg erg g
4922.01813233492 1.4649219697056336e+51 5.9816148022327576e+50 1.990174281200925e+33
4928.74147920903 1.4651195762583855e+51 5.980274624485295e+50 1.9901738048509735e+33
4935.42427349338 1.4653153221027289e+51 5.979031878610322e+50 1.990173331578356e+33
4942.07002839902 1.4655095024496273e+51 5.9776231583031465e+50 1.9901728609649233e+33
4948.6827755 1.4657020665059426e+51 5.97633459201177e+50 1.990172392707617e+33
4955.26614415782 1.4658930665006112e+51 5.974968249792447e+50 1.9901719266230106e+33
4961.82168233839 1.4660828074154535e+51 5.973706686555417e+50 1.9901714626521264e+33
4968.35714255555 1.4662716486871996e+51 5.972375655171956e+50 1.9901710005336536e+33
4974.88349327223 1.4664595708354605e+51 5.971083345468364e+50 1.990170539579739e+33
4981.4092290461 1.466646657694245e+51 5.9697398013970346e+50 1.9901700794178347e+33
4987.94340359962 1.4668334487257695e+51 5.9683946486594545e+50 1.990169619626129e+33
4994.4811456069 1.4670198557030321e+51 5.967076688760248e+50 1.9901691612562467e+33
5001.03974176282 1.4672062131011288e+51 5.9656587563948084e+50 1.990168703085397e+33
5007.60582239912 1.4673922552488433e+51 5.964360531196975e+50 1.990168234067608e+33
5014.19038118793 1.4675783213481098e+51 5.962887557218594e+50 1.990167742927736e+33
5020.78531307687 1.4677640245926425e+51 5.961564396040149e+50 1.9901672446256055e+33
5027.39137175706 1.4679494027025328e+51 5.960074539953355e+50 1.9901667433133595e+33
5034.01140747602 1.4681346454389213e+51 5.958724245279634e+50 1.990166239951827e+33
5040.64976249191 1.468319841514712e+51 5.957260293893034e+50 1.990165735344926e+33
5047.30198227016 1.46850477493279e+51 5.955899113688548e+50 1.9901652295416496e+33
5053.96608436139 1.4686894702739864e+51 5.9543873860324895e+50 1.9901647228418057e+33
5060.6408254314 1.4688740264679866e+51 5.95302140489325e+50 1.9901642153515747e+33
5067.32205123578 1.4690582803495577e+51 5.951484707105973e+50 1.9901637070053384e+33
5074.0067817318 1.4692420007526203e+51 5.9501094346947674e+50 1.9901631979954445e+33
5080.69704237124 1.4694252890471537e+51 5.9485563827444366e+50 1.9901626881636916e+33
5087.39475779851 1.469608362818634e+51 5.947145863153996e+50 1.9901621774488282e+33
5094.10803854787 1.4697913283964189e+51 5.94564630972624e+50 1.990161665609656e+33
5100.82895032774 1.4699738092693096e+51 5.94419865308985e+50 1.9901611536264104e+33
5107.55677345211 1.4701559132337014e+51 5.942729126541108e+50 1.9901606418616463e+33
5114.28622572854 1.4703375343205971e+51 5.941254047590092e+50 1.9901601309027936e+33
5121.01412765685 1.470518438150148e+51 5.9397884829362305e+50 1.9901596211791917e+33
5127.73790719834 1.4706986277403215e+51 5.9383321894704544e+50 1.9901591129200425e+33
5134.45752911799 1.4708782198750275e+51 5.937005605356169e+50 1.990158605962513e+33
5141.1706859826 1.471057018974685e+51 5.935559028739755e+50 1.9901581002813344e+33
5147.872348798 1.4712348441348775e+51 5.934198884859339e+50 1.9901575959556658e+33
5154.55565988978 1.4714117211212983e+51 5.9327339145886436e+50 1.9901570932327243e+33
5161.22794937207 1.4715878439787765e+51 5.931392205551826e+50 1.9901565914722183e+33
5167.88860103223 1.4717629281392548e+51 5.929897848526435e+50 1.9901560908924233e+33
5174.55212234413 1.471937453575987e+51 5.9285589845577825e+50 1.990155590608131e+33
5181.2112342378 1.4721114164382682e+51 5.927063682182379e+50 1.9901550914404092e+33
5187.86717044506 1.472284788610282e+51 5.925637031363589e+50 1.9901545934811388e+33
5194.51960197157 1.4724573927931353e+51 5.924120276647358e+50 1.990154096994383e+33
5201.17003236855 1.4726294340086468e+51 5.9226838435648974e+50 1.9901536019811794e+33
5207.82192494661 1.4728011587312055e+51 5.9211224741166005e+50 1.990153108296971e+33
5214.47603692445 1.4729723423048207e+51 5.919660508309069e+50 1.9901526158621738e+33
5221.13779763597 1.4731431166731756e+51 5.918102929578205e+50 1.9901521242935686e+33
5227.81291117908 1.4733138743321875e+51 5.916650354426293e+50 1.9901516331470048e+33
5234.50090777827 1.4734844822099877e+51 5.915056519894975e+50 1.990151142474629e+33
5241.19649584951 1.4736545612415072e+51 5.9135748345375714e+50 1.9901506526621047e+33
5247.90909112758 1.4738245657131625e+51 5.911976732790412e+50 1.9901501630214817e+33
5254.64586171893 1.473994830116978e+51 5.910455558013736e+50 1.9901496729898082e+33
5261.39641059837 1.4741648501421345e+51 5.908839389244673e+50 1.990149183303147e+33
5268.16276858551 1.4743345172567649e+51 5.907328453597377e+50 1.9901486937161703e+33
5274.94333806082 1.474504161143623e+51 5.905686701280983e+50 1.9901482043143318e+33
5281.73857411778 1.4746738177849191e+51 5.904173917368668e+50 1.9901477149901535e+33
5288.54603819324 1.4748429847374899e+51 5.9025057535122616e+50 1.9901472259994116e+33
5295.3670556124 1.4750118347028092e+51 5.900963964532528e+50 1.9901467372437414e+33
5302.20241014939 1.4751808263051751e+51 5.899297557166359e+50 1.990146248788901e+33
5309.05273150354 1.475349677407312e+51 5.8977310828031896e+50 1.990145760661861e+33
5315.91662899738 1.4755179380324005e+51 5.896108662820601e+50 1.990145273062768e+33
5322.78816866394 1.4756859735797811e+51 5.894470603107984e+50 1.9901447865181112e+33
5329.68227979791 1.4758543945117676e+51 5.892886412237141e+50 1.990144300053783e+33
5336.60219799928 1.4760226441826048e+51 5.891187839857386e+50 1.9901438124681762e+33
5343.54127766892 1.4761904224925548e+51 5.889568734154457e+50 1.9901433219246992e+33
5350.50783273074 1.4763586820347243e+51 5.887832874542907e+50 1.9901428275704708e+33
5357.49602219774 1.4765272669932411e+51 5.886170547377897e+50 1.9901423314095495e+33
5364.50387937861 1.4766953029349982e+51 5.884450828511192e+50 1.9901418346120492e+33
5371.53577811544 1.4768630312496405e+51 5.882680141972612e+50 1.9901413373212666e+33
5378.59594442754 1.4770314507291574e+51 5.880998361016709e+50 1.9901408394222928e+33
